EVENT_ID;TICKET_ID;SECTOR_ID;SEAT_ID;sector_left;sector_righ;
85;1472925;303;129934;304;302;
85;1474891;303;129935;304;302;
85;1480311;303;129936;304;302;
85;1479311;303;129937;304;302;
85;1477809;303;129938;304;302;
85;1481816;303;129939;304;302;
85;1465214;303;129940;304;302;
85;1473516;303;129941;304;302;
85;1474890;303;129942;304;302;
85;1468364;303;129943;304;302;
85;1468725;303;129944;304;302;
85;1478955;303;129945;304;302;
85;1478954;303;129946;304;302;
85;1468724;303;129947;304;302;
85;1468363;303;129948;304;302;
85;1474889;303;129949;304;302;
85;1473515;303;129950;304;302;
85;1465213;303;129951;304;302;
85;1481815;303;129952;304;302;
85;1477808;303;129953;304;302;
85;1479310;303;129954;304;302;
85;1480310;303;129955;304;302;
85;1481814;303;129956;304;302;
85;1472924;303;129957;304;302;
85;1467091;303;129958;304;302;
85;1481318;303;129959;304;302;
85;1471922;303;129960;304;302;
85;1468723;303;129961;304;302;
85;1467640;303;129962;304;302;
85;1464023;303;129963;304;302;
85;1464022;303;129964;304;302;
85;1465212;303;129965;304;302;
85;1481317;303;129966;304;302;
85;1471921;303;129967;304;302;
85;1481316;303;129968;304;302;
85;1481813;303;129969;304;302;
85;1480309;303;129970;304;302;
85;1479309;303;129971;304;302;
85;1480308;303;129972;304;302;
85;1468362;303;129973;304;302;
85;1471920;303;129974;304;302;
85;1473514;303;129975;304;302;
85;1467090;303;129976;304;302;
85;1468361;303;129977;304;302;
85;1464021;303;129978;304;302;
85;1467639;303;129979;304;302;
85;1467638;303;129980;304;302;
85;1478953;303;129981;304;302;
85;1468360;303;129982;304;302;
85;1467089;303;129983;304;302;
85;1473513;303;129984;304;302;
85;1474888;303;129985;304;302;
85;1481812;303;129986;304;302;
85;1477807;303;129987;304;302;
85;1479308;303;129988;304;302;
85;1477806;303;129989;304;302;
85;1465211;303;129990;304;302;
85;1472923;303;129991;304;302;
85;1474887;303;129992;304;302;
85;1472922;303;129993;304;302;
85;1468722;303;129994;304;302;
85;1478952;303;129995;304;302;
85;1478951;303;129996;304;302;
85;1467637;303;129997;304;302;
